Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100uF","CP_EIA-3528-21_Kemet-B",-127.350000,-54.287500,90.000000,bottom
"C7","100uF","CP_EIA-3528-21_Kemet-B",-154.850000,-54.287500,90.000000,bottom
"C7","100uF","CP_EIA-3528-21_Kemet-B",-127.350000,-69.787500,90.000000,bottom
"C7","100uF","CP_EIA-3528-21_Kemet-B",-154.850000,-85.287500,90.000000,bottom
"C7","100uF","CP_EIA-3528-21_Kemet-B",-127.350000,-85.287500,90.000000,bottom
"C7","100uF","CP_EIA-3528-21_Kemet-B",-154.850000,-69.787500,90.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-128.957750,-80.650000,180.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-128.957750,-49.650000,180.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-156.457750,-49.650000,180.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-128.957750,-65.150000,180.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-156.457750,-65.150000,180.000000,bottom
"L1","1u","L_Vishay_IHLP-1616",-156.457750,-80.650000,180.000000,bottom
"Q1","2N7002","SOT-23",-171.000000,-90.350000,0.000000,bottom
"Q1","2N7002","SOT-23",-143.500000,-90.350000,0.000000,bottom
"Q1","2N7002","SOT-23",-171.000000,-74.850000,0.000000,bottom
"Q1","2N7002","SOT-23",-143.500000,-74.850000,0.000000,bottom
"Q1","2N7002","SOT-23",-171.000000,-59.350000,0.000000,bottom
"Q1","2N7002","SOT-23",-143.500000,-59.350000,0.000000,bottom
"Q2","2N7002","SOT-23",-171.000000,-81.000000,0.000000,bottom
"Q2","2N7002","SOT-23",-143.500000,-81.000000,0.000000,bottom
"Q2","2N7002","SOT-23",-171.000000,-65.500000,0.000000,bottom
"Q2","2N7002","SOT-23",-143.500000,-65.500000,0.000000,bottom
"Q2","2N7002","SOT-23",-171.000000,-50.000000,0.000000,bottom
"Q2","2N7002","SOT-23",-143.500000,-50.000000,0.000000,bottom
